_lowerFrequency,_higherFrequency,_term,_status,_shortComments
40660000,40700000,Mobile,primary,
40700000,40980000,Mobile,primary,
40980000,41015000,Mobile,primary,
40980000,41015000,Space research,secondary,
41015000,42000000,Mobile,primary,
42000000,42500000,Fixed,primary,
42000000,42500000,Mobile,primary,
42000000,42500000,Radiolocation,secondary,
42500000,44000000,Fixed,primary,
44000000,47000000,Mobile,primary,
47000000,50000000,Land Mobile,primary,
50000000,52000000,Land Mobile,primary,
50000000,52000000,Amateur,secondary,
52000000,68000000,Land Mobile,primary,
68000000,70450000,Mobile,primary,
68000000,70450000,Amateur,secondary,
70450000,74800000,Mobile except aeronautical mobile,primary,
70450000,74800000,Amateur,secondary,
70450000,74800000,Radio Astronomy,secondary,
74800000,75200000,Aeronautical Radionavigation,primary,
75200000,87500000,Mobile,primary,
87500000,100000000,Broadcasting,primary,
100000000,108000000,Broadcasting,primary,
108000000,117975000,Aeronautical Mobile (R),primary,
108000000,117975000,Aeronautical Radionavigation,primary,
117975000,121450000,Aeronautical Mobile (R),primary,
121450000,121550000,Aeronautical Mobile (R),primary,
121550000,136000000,Aeronautical Mobile (R),primary,
136000000,137000000,Aeronautical Mobile (R),primary,
137000000,137025000,Meteorological-Satellite (space-to-Earth),primary,
137000000,137025000,Mobile,primary,
137000000,137025000,Mobile-Satellite (space-to-Earth),primary,
137000000,137025000,Space Operation (space-to-Earth),primary,
137000000,137025000,Space Research (space-to-Earth),primary,
137025000,137175000,Meteorological-Satellite (space-to-Earth),primary,
137025000,137175000,Mobile,primary,
137025000,137175000,Space Operation (space-to-Earth),primary,
137025000,137175000,Space Research (space-to-Earth),primary,
137025000,137175000,Mobile-Satellite (space-to-Earth),secondary,
137175000,137825000,Meteorological-Satellite (space-to-Earth),primary,
137175000,137825000,Mobile,primary,
137175000,137825000,Mobile-Satellite (space-to-Earth),primary,
137175000,137825000,Space Operation (space-to-Earth),primary,
137175000,137825000,Space Research (space-to-Earth),primary,
137825000,138000000,Meteorological-Satellite (space-to-Earth),primary,
137825000,138000000,Mobile,primary,
137825000,138000000,Mobile-Satellite (space-to-Earth),primary,
137825000,138000000,Space Operation (space-to-Earth),primary,
137825000,138000000,Space Research (space-to-Earth),primary,
138000000,143600000,Aeronautical Mobile (OR),primary,
138000000,143600000,Land Mobile,primary,
138000000,143600000,Space Research (space-to-Earth),secondary,
143600000,143650000,Aeronautical Mobile (OR),primary,
143600000,143650000,Land Mobile,primary,
143600000,143650000,Space Research (space-to-Earth),primary,
143650000,144000000,Land Mobile,primary,
143650000,144000000,Aeronautical Mobile (OR),primary,
144000000,146000000,Amateur,primary,
144000000,146000000,Amateur-Satellite,primary,
146000000,146800000,Mobile,primary,
148000000,149900000,Mobile,primary,
148000000,149900000,Mobile-Satellite (Earth-to-space),primary,
149900000,150050000,Mobile,primary,
149900000,150050000,Mobile-Satellite (Earth-to-space),primary,
150050000,153000000,Mobile except aeronautical mobile,primary,
150050000,153000000,Radio Astronomy,primary,
153000000,154000000,Mobile except aeronautical mobile (R),primary,
154000000,156487500,Mobile except aeronautical mobile (R),primary,
156487500,156512500,Maritime Mobile (Distress and calling via DSC),primary,
156512500,156537500,Maritime Mobile (Distress and calling via DSC),primary,
156537500,156562500,Maritime Mobile (Distress and calling via DSC),primary,
156537500,156562500,Mobile except aeronautical mobile (R),primary,
156562500,156762500,Mobile except aeronautical mobile (R),primary,
156762500,156787500,Maritime Mobile (Distress and calling),primary,
156787500,156812500,Maritime Mobile (Distress and calling),primary,
156812500,156837500,Mobile except aeronautical mobile,primary,
156812500,156837500,Maritime Mobile,primary,
156837500,157187500,Mobile except aeronautical mobile,primary,
157187500,157337500,Maritime Mobile-satellite,secondary,
157187500,157337500,Mobile except aeronautical mobile,secondary,
157337500,161787500,Mobile except aeronautical mobile,primary,
161787500,161937500,Mobile except aeronautical mobile,primary,
161787500,161937500,Maritime Mobile-Satellite,secondary,
161937500,161962500,Mobile except aeronautical mobile,primary,
161937500,161962500,Maritime Mobile-Satellite (Earth-to-space),secondary,
161962500,161987500,Mobile except aeronautical mobile,primary,
161962500,161987500,Maritime Mobile-Satellite (Earth-to-space),secondary,
161987500,162012500,Maritime Mobile-Satellite (Earth-to-space),primary,
161987500,162012500,Mobile except aeronautical mobile,primary,
162012500,162037500,Mobile except aeronautical mobile,primary,
162037500,169400000,Mobile except aeronautical mobile,secondary,
169400000,169812500,Mobile except aeronautical mobile,primary,
169812500,174000000,Mobile except aeronautical mobile,secondary,
174000000,223000000,Broadcasting,primary,
174000000,223000000,Land Mobile,primary,
223000000,225000000,Broadcasting,primary,
225000000,230000000,Broadcasting,primary,
225000000,230000000,Land Mobile,secondary,
230000000,235000000,Mobile,primary,
235000000,240000000,Mobile,primary,
240000000,242950000,Mobile,primary,
242950000,243050000,Aeronautical Mobile,primary,
243050000,267000000,Mobile,primary,
267000000,272000000,Mobile,primary,
272000000,273000000,Mobile,primary,
273000000,312000000,Mobile,primary,
312000000,315000000,Mobile,primary,
315000000,322000000,Mobile,primary,
322000000,328600000,Mobile,primary,
322000000,328600000,Radio Astronomy,primary,
328600000,335400000,Aeronautical Radionavigation,primary,
335400000,380000000,Mobile,primary,
380000000,385000000,Mobile,primary,
385000000,387000000,Mobile,primary,
387000000,390000000,Mobile,primary,
390000000,395000000,Mobile,primary,
395000000,399900000,Mobile,primary,
399900000,400050000,Mobile-Satellite (Earth-to-space),primary,
400050000,400150000,Standard Frequency and Time Signal-Satellite (400.1 MHz),primary,
400150000,401000000,Meteorological Aids,primary,
400150000,401000000,Meteorological-Satellite (space-to-Earth),primary,
400150000,401000000,Mobile-Satellite (space-to-Earth),primary,
400150000,401000000,Space Operation (space-to-Earth),primary,
400150000,401000000,Space Research (space-to-Earth),primary,
401000000,402000000,Earth Exploration-Satellite (Earth-to-space),primary,
401000000,402000000,Meteorological Aids,primary,
401000000,402000000,Meteorological-Satellite (Earth-to-space),primary,
402000000,403000000,Earth Exploration-Satellite (Earth-to-space),primary,
402000000,403000000,Meteorological Aids,primary,
402000000,403000000,Meteorological-Satellite (Earth-to-space),primary,
403000000,406000000,Meteorological Aids,primary,
406000000,406100000,Mobile-Satellite (Earth-to-space),primary,
406100000,410000000,Land Mobile,primary,
406100000,410000000,Radio Astronomy,primary,
410000000,420000000,Mobile except aeronautical mobile,primary,
420000000,430000000,Mobile except aeronautical mobile,primary,
420000000,430000000,Radiolocation,secondary,
430000000,432000000,Amateur,primary,
430000000,432000000,Radiolocation,primary,
432000000,433050000,Amateur,primary,
432000000,433050000,Radiolocation,primary,
432000000,433050000,Earth Exploration-Satellite (active),secondary,
433050000,434790000,Amateur,primary,
433050000,434790000,Radiolocation,primary,
433050000,434790000,Earth Exploration-Satellite (active),secondary,
433050000,434790000,Land Mobile,secondary,
434790000,438000000,Amateur,primary,
434790000,438000000,Radiolocation,primary,
434790000,438000000,Earth Exploration-Satellite (active),secondary,
438000000,440000000,Amateur,primary,
438000000,440000000,Radiolocation,primary,
440000000,450000000,Mobile except aeronautical mobile,primary,
440000000,450000000,Radiolocation,secondary,
450000000,455000000,Mobile,primary,
455000000,456000000,Mobile,primary,
456000000,459000000,Mobile,primary,
459000000,460000000,Mobile,primary,
460000000,470000000,Mobile,primary,
470000000,694000000,Broadcasting,primary,
470000000,694000000,Mobile,secondary,
694000000,790000000,Mobile except aeronautical mobile,primary,
694000000,790000000,Broadcasting,primary,
790000000,862000000,Mobile except aeronautical mobile,primary,
862000000,870000000,Mobile,primary,
870000000,876000000,Mobile,primary,
876000000,880000000,Mobile,primary,
880000000,890000000,Mobile,primary,
890000000,915000000,Mobile,primary,
890000000,915000000,Radiolocation,secondary,
915000000,921000000,Mobile,primary,
915000000,921000000,Radiolocation,secondary,
921000000,925000000,Mobile,primary,
921000000,925000000,Radiolocation,secondary,
925000000,942000000,Mobile,primary,
925000000,942000000,Radiolocation,secondary,
942000000,960000000,Mobile,primary,
960000000,1164000000,Aeronautical Mobile (R),primary,
960000000,1164000000,Aeronautical Mobile-Satellite (R),primary,
960000000,1164000000,Aeronautical Radionavigation,primary,
1164000000,1215000000,Aeronautical Radionavigation,primary,
1164000000,1215000000,Radionavigation-Satellite (space-to-Earth) (space-to-space),primary,
1215000000,1240000000,Earth Exploration-Satellite (active),primary,
1215000000,1240000000,Radiolocation,primary,
1215000000,1240000000,Radionavigation-Satellite (space-to-Earth) (space-to-space),primary,
1215000000,1240000000,Space Research (active),primary,
1240000000,1300000000,Earth Exploration-Satellite (active),primary,
1240000000,1300000000,Radiolocation,primary,
1240000000,1300000000,Radionavigation-Satellite (space-to-Earth) (space-to-space),primary,
1240000000,1300000000,Space Research (active),primary,
1240000000,1300000000,Amateur,secondary,
1240000000,1300000000,Amateur-Satellite,secondary,
1300000000,1350000000,Aeronautical Radionavigation,primary,
1300000000,1350000000,Radiolocation,primary,
1300000000,1350000000,Radionavigation-Satellite (Earth-to-space),primary,
1350000000,1400000000,Fixed,primary,
1350000000,1400000000,Mobile,primary,
1350000000,1400000000,Space operation (Earth-to-space),primary,
1400000000,1427000000,Earth Exploration-Satellite (passive),primary,
1400000000,1427000000,Radio Astronomy,primary,
1400000000,1427000000,Space Research (passive),primary,
1427000000,1429000000,Fixed,primary,
1427000000,1429000000,Mobile except aeronautical mobile,primary,
1427000000,1429000000,Space operation (Earth-to-space),primary,
1429000000,1452000000,Fixed,primary,
1429000000,1452000000,Mobile except aeronautical mobile,primary,
1452000000,1492000000,Broadcasting,primary,
1452000000,1492000000,Mobile except aeronautical mobile,primary,
1452000000,1492000000,Fixed,secondary,
1492000000,1518000000,Fixed,primary,
1492000000,1518000000,Mobile except aeronautical mobile,primary,
1518000000,1525000000,Fixed,primary,
1518000000,1525000000,Mobile except aeronautical mobile,primary,
1518000000,1525000000,Mobile-Satellite (space-to-Earth),primary,
1525000000,1530000000,Fixed,primary,
1525000000,1530000000,Mobile-Satellite (space-to-Earth),primary,
1525000000,1530000000,Space Operation (space-to-Earth),primary,
1530000000,1535000000,Mobile-Satellite (space-to-Earth),primary,
1530000000,1535000000,Space Operation (space-to-Earth),primary,
1530000000,1535000000,Earth Exploration-Satellite,secondary,
1530000000,1535000000,Fixed,secondary,
1530000000,1535000000,Mobile except aeronautical mobile,secondary,
1535000000,1559000000,Mobile-Satellite (space-to-Earth),primary,
1559000000,1610000000,Aeronautical Radionavigation,primary,
1559000000,1610000000,Radionavigation-Satellite (space-to-Earth),primary,
1559000000,1610000000,Radionavigation-Satellite (space-to-space),primary,
1610000000,1610600000,Aeronautical Radionavigation,primary,
1610000000,1610600000,Mobile-Satellite (Earth-to-space),primary,
1610600000,1613800000,Aeronautical Radionavigation,primary,
1610600000,1613800000,Mobile-Satellite (Earth-to-space),primary,
1610600000,1613800000,Radio Astronomy,primary,
1613800000,1621350000,Aeronautical Radionavigation,primary,
1613800000,1621350000,Mobile-Satellite (Earth-to-space),primary,
1613800000,1621350000,Mobile-Satellite (space-to-Earth),secondary,
1621350000,1626500000,Aeronautical Radionavigation,primary,
1621350000,1626500000,Maritime Mobile-Satellite (space-to-Earth),primary,
1621350000,1626500000,Mobile-Satellite (Earth-to-space),primary,
1621350000,1626500000,Mobile-Satellite (space-to-Earth),secondary,
1621350000,1626500000,Mobile-satellite except maritime mobile satellite (space-to-Earth),secondary,
1626500000,1660000000,Mobile-Satellite (Earth-to-space),primary,
1660000000,1660500000,Mobile-Satellite (Earth-to-space),primary,
1660000000,1660500000,Radio Astronomy,primary,
1660500000,1668000000,Radio Astronomy,primary,
1660500000,1668000000,Space Research (passive),primary,
1660500000,1668000000,Fixed,secondary,
1660500000,1668000000,Mobile except aeronautical mobile,secondary,
1668000000,1668400000,Mobile-Satellite (Earth-to-space),primary,
1668000000,1668400000,Radio Astronomy,primary,
1668000000,1668400000,Space Research (passive),primary,
1668000000,1668400000,Fixed,secondary,
1668000000,1668400000,Mobile except aeronautical mobile,secondary,
1668400000,1670000000,Fixed,primary,
1668400000,1670000000,Meteorological Aids,primary,
1668400000,1670000000,Mobile except aeronautical mobile,primary,
1668400000,1670000000,Mobile-Satellite (Earth-to-space),primary,
1668400000,1670000000,Radio Astronomy,primary,
1670000000,1675000000,Meteorological Aids,primary,
1670000000,1675000000,Meteorological-Satellite (space-to-Earth),primary,
1670000000,1675000000,Mobile,primary,
1670000000,1675000000,Mobile-Satellite (Earth-to-space),primary,
1670000000,1675000000,Fixed,secondary,
1675000000,1690000000,Fixed,primary,
1675000000,1690000000,Meteorological Aids,primary,
1675000000,1690000000,Meteorological-Satellite (space-to-Earth),primary,
1675000000,1690000000,Mobile except aeronautical mobile,primary,
1690000000,1700000000,Meteorological Aids,primary,
1690000000,1700000000,Meteorological-Satellite (space-to-Earth),primary,
1690000000,1700000000,Fixed,secondary,
1690000000,1700000000,Mobile except aeronautical mobile,secondary,
1700000000,1710000000,Fixed,primary,
1700000000,1710000000,Meteorological-Satellite (space-to-Earth),primary,
1700000000,1710000000,Mobile except aeronautical mobile,secondary,
1710000000,1785000000,Fixed,primary,
1710000000,1785000000,Mobile,primary,
1785000000,1800000000,Fixed,primary,
1785000000,1800000000,Mobile,primary,
1800000000,1805000000,Mobile,primary,
1800000000,1805000000,Fixed,secondary,
1805000000,1880000000,Fixed,primary,
1805000000,1880000000,Mobile,primary,
1880000000,1885000000,Mobile,primary,
1880000000,1885000000,Fixed,secondary,
1885000000,1900000000,Mobile,primary,
1885000000,1900000000,Fixed,secondary,
1900000000,1930000000,Mobile,primary,
1900000000,1930000000,Fixed,secondary,
1930000000,1970000000,Mobile,primary,
1930000000,1970000000,Fixed,secondary,
1970000000,1980000000,Mobile,primary,
1970000000,1980000000,Fixed,secondary,
1980000000,2010000000,Mobile,primary,
1980000000,2010000000,Mobile-Satellite (Earth-to-space),primary,
2010000000,2025000000,Mobile,primary,
2010000000,2025000000,Fixed,secondary,
2025000000,2110000000,Earth Exploration-Satellite (Earth-to-space) (space-to-space),primary,
2025000000,2110000000,Fixed,primary,
2025000000,2110000000,Mobile,primary,
2025000000,2110000000,Space Operation (Earth-to-space) (space-to-space),primary,
2025000000,2110000000,Space Research (Earth-to-space) (space-to-space),primary,
2110000000,2120000000,Mobile,primary,
2110000000,2120000000,Space Research (deep space) (Earth-to-space),primary,
2110000000,2120000000,Fixed,secondary,
2120000000,2170000000,Mobile,primary,
2120000000,2170000000,Fixed,secondary,
2170000000,2200000000,Mobile,primary,
2170000000,2200000000,Mobile-Satellite (space-to-Earth),primary,
2200000000,2290000000,Earth Exploration-Satellite (space-to-Earth) (space-to-space),primary,
2200000000,2290000000,Fixed,primary,
2200000000,2290000000,Mobile,primary,
2200000000,2290000000,Space Operation (space-to-Earth) (space-to-space),primary,
2200000000,2290000000,Space Research (space-to-Earth) (space-to-space),primary,
2290000000,2300000000,Fixed,primary,
2290000000,2300000000,Mobile except aeronautical mobile,primary,
2290000000,2300000000,Space Research (deep space) (space-to-Earth),primary,
2300000000,2400000000,Fixed,primary,
2300000000,2400000000,Mobile,primary,
2300000000,2400000000,Amateur,secondary,
